@line:51    Cycle @2.00: [Fetcher_Impl]	IF: PC=0x0
@line:48    Cycle @18.00: [WB]	WB: x13 <= 0x65
@line:51    Cycle @18.00: [Fetcher_Impl]	IF: PC=0x8
@line:90    Cycle @18.00: [Fetcher_Impl]	IF: BTB Miss PC=0x8
@line:182   Cycle @18.00: [Fetcher_Impl]	IF: Tournament Predictor Taken PC=0x8
@line:64    Cycle @19.00: [Decoder]	ID: PC=0x8 Ins=0x6500693
@line:138   Cycle @19.00: [Executor]	EX: Bypass rs1 from EX/MEM=0x3
@line:248   Cycle @19.00: [Executor]	EX: Bypass rs2 from WB=0x65
@line:14711 Cycle @19.00: [Executor]	EX: Result=0xffffff9e
@line:14939 Cycle @19.00: [Executor]	EX: Branch Target=0x8 Taken=1
@line:14992 Cycle @19.00: [Executor]	EX: BTB Update PC=0x14 Target=0x8
@line:15239 Cycle @19.00: [Executor]	EX: Tournament Predictor Update PC=0x14 Taken=1
@line:48    Cycle @19.00: [WB]	WB: x10 <= 0x3
@line:51    Cycle @19.00: [Fetcher_Impl]	IF: PC=0xc
@line:90    Cycle @19.00: [Fetcher_Impl]	IF: BTB Miss PC=0xc
@line:182   Cycle @19.00: [Fetcher_Impl]	IF: Tournament Predictor Taken PC=0xc
@line:64    Cycle @20.00: [Decoder]	ID: PC=0xc Ins=0xf50533
@line:124   Cycle @20.00: [Executor]	EX: Bypass rs1 from RegFile=0x0
@line:206   Cycle @20.00: [Executor]	EX: Bypass rs2 from RegFile=0x0
@line:14711 Cycle @20.00: [Executor]	EX: Result=0x65
@line:48    Cycle @20.00: [WB]	WB: x15 <= 0x3
@line:51    Cycle @20.00: [Fetcher_Impl]	IF: PC=0x10
@line:90    Cycle @20.00: [Fetcher_Impl]	IF: BTB Miss PC=0x10
@line:182   Cycle @20.00: [Fetcher_Impl]	IF: Tournament Predictor Taken PC=0x10
@line:64    Cycle @21.00: [Decoder]	ID: PC=0x10 Ins=0x178793
@line:124   Cycle @21.00: [Executor]	EX: Bypass rs1 from RegFile=0x3
@line:248   Cycle @21.00: [Executor]	EX: Bypass rs2 from WB=0x3
@line:14711 Cycle @21.00: [Executor]	EX: Result=0x6
@line:51    Cycle @21.00: [Fetcher_Impl]	IF: PC=0x14
@line:83    Cycle @21.00: [Fetcher_Impl]	IF: BTB Hit PC=0x14 Target=0x8
@line:182   Cycle @21.00: [Fetcher_Impl]	IF: Tournament Predictor Taken PC=0x14
@line:64    Cycle @22.00: [Decoder]	ID: PC=0x14 Ins=0xfed79ae3
@line:124   Cycle @22.00: [Executor]	EX: Bypass rs1 from RegFile=0x3
@line:206   Cycle @22.00: [Executor]	EX: Bypass rs2 from RegFile=0x0
@line:14711 Cycle @22.00: [Executor]	EX: Result=0x4
@line:48    Cycle @22.00: [WB]	WB: x13 <= 0x65
@line:51    Cycle @22.00: [Fetcher_Impl]	IF: PC=0x8
@line:90    Cycle @22.00: [Fetcher_Impl]	IF: BTB Miss PC=0x8
@line:182   Cycle @22.00: [Fetcher_Impl]	IF: Tournament Predictor Taken PC=0x8
@line:64    Cycle @23.00: [Decoder]	ID: PC=0x8 Ins=0x6500693
@line:138   Cycle @23.00: [Executor]	EX: Bypass rs1 from EX/MEM=0x4
@line:248   Cycle @23.00: [Executor]	EX: Bypass rs2 from WB=0x65
@line:14711 Cycle @23.00: [Executor]	EX: Result=0xffffff9f
@line:14939 Cycle @23.00: [Executor]	EX: Branch Target=0x8 Taken=1
@line:14992 Cycle @23.00: [Executor]	EX: BTB Update PC=0x14 Target=0x8
@line:15239 Cycle @23.00: [Executor]	EX: Tournament Predictor Update PC=0x14 Taken=1
@line:48    Cycle @23.00: [WB]	WB: x10 <= 0x6
@line:51    Cycle @23.00: [Fetcher_Impl]	IF: PC=0xc
@line:90    Cycle @23.00: [Fetcher_Impl]	IF: BTB Miss PC=0xc
@line:182   Cycle @23.00: [Fetcher_Impl]	IF: Tournament Predictor Taken PC=0xc
@line:64    Cycle @24.00: [Decoder]	ID: PC=0xc Ins=0xf50533
@line:124   Cycle @24.00: [Executor]	EX: Bypass rs1 from RegFile=0x0
@line:206   Cycle @24.00: [Executor]	EX: Bypass rs2 from RegFile=0x0
@line:14711 Cycle @24.00: [Executor]	EX: Result=0x65
@line:48    Cycle @24.00: [WB]	WB: x15 <= 0x4
@line:51    Cycle @24.00: [Fetcher_Impl]	IF: PC=0x10
@line:90    Cycle @24.00: [Fetcher_Impl]	IF: BTB Miss PC=0x10
@line:182   Cycle @24.00: [Fetcher_Impl]	IF: Tournament Predictor Taken PC=0x10
@line:64    Cycle @25.00: [Decoder]	ID: PC=0x10 Ins=0x178793
@line:124   Cycle @25.00: [Executor]	EX: Bypass rs1 from RegFile=0x6
@line:248   Cycle @25.00: [Executor]	EX: Bypass rs2 from WB=0x4
@line:14711 Cycle @25.00: [Executor]	EX: Result=0xa
@line:51    Cycle @25.00: [Fetcher_Impl]	IF: PC=0x14
@line:83    Cycle @25.00: [Fetcher_Impl]	IF: BTB Hit PC=0x14 Target=0x8
@line:182   Cycle @25.00: [Fetcher_Impl]	IF: Tournament Predictor Taken PC=0x14
@line:64    Cycle @26.00: [Decoder]	ID: PC=0x14 Ins=0xfed79ae3
@line:124   Cycle @26.00: [Executor]	EX: Bypass rs1 from RegFile=0x4
@line:206   Cycle @26.00: [Executor]	EX: Bypass rs2 from RegFile=0x0
@line:14711 Cycle @26.00: [Executor]	EX: Result=0x5
@line:48    Cycle @26.00: [WB]	WB: x13 <= 0x65
@line:51    Cycle @26.00: [Fetcher_Impl]	IF: PC=0x8
@line:90    Cycle @26.00: [Fetcher_Impl]	IF: BTB Miss PC=0x8
@line:182   Cycle @26.00: [Fetcher_Impl]	IF: Tournament Predictor Taken PC=0x8
@line:64    Cycle @27.00: [Decoder]	ID: PC=0x8 Ins=0x6500693
@line:138   Cycle @27.00: [Executor]	EX: Bypass rs1 from EX/MEM=0x5
@line:248   Cycle @27.00: [Executor]	EX: Bypass rs2 from WB=0x65
@line:14711 Cycle @27.00: [Executor]	EX: Result=0xffffffa0
@line:14939 Cycle @27.00: [Executor]	EX: Branch Target=0x8 Taken=1
@line:14992 Cycle @27.00: [Executor]	EX: BTB Update PC=0x14 Target=0x8
@line:15239 Cycle @27.00: [Executor]	EX: Tournament Predictor Update PC=0x14 Taken=1
@line:48    Cycle @27.00: [WB]	WB: x10 <= 0xa
@line:51    Cycle @27.00: [Fetcher_Impl]	IF: PC=0xc
@line:90    Cycle @27.00: [Fetcher_Impl]	IF: BTB Miss PC=0xc
@line:182   Cycle @27.00: [Fetcher_Impl]	IF: Tournament Predictor Taken PC=0xc
@line:64    Cycle @28.00: [Decoder]	ID: PC=0xc Ins=0xf50533
@line:124   Cycle @28.00: [Executor]	EX: Bypass rs1 from RegFile=0x0
@line:206   Cycle @28.00: [Executor]	EX: Bypass rs2 from RegFile=0x0
@line:14711 Cycle @28.00: [Executor]	EX: Result=0x65
@line:48    Cycle @28.00: [WB]	WB: x15 <= 0x5
@line:51    Cycle @28.00: [Fetcher_Impl]	IF: PC=0x10
@line:90    Cycle @28.00: [Fetcher_Impl]	IF: BTB Miss PC=0x10
@line:182   Cycle @28.00: [Fetcher_Impl]	IF: Tournament Predictor Taken PC=0x10
@line:64    Cycle @29.00: [Decoder]	ID: PC=0x10 Ins=0x178793
@line:124   Cycle @29.00: [Executor]	EX: Bypass rs1 from RegFile=0xa
@line:248   Cycle @29.00: [Executor]	EX: Bypass rs2 from WB=0x5
@line:14711 Cycle @29.00: [Executor]	EX: Result=0xf
@line:51    Cycle @29.00: [Fetcher_Impl]	IF: PC=0x14
@line:83    Cycle @29.00: [Fetcher_Impl]	IF: BTB Hit PC=0x14 Target=0x8
@line:182   Cycle @29.00: [Fetcher_Impl]	IF: Tournament Predictor Taken PC=0x14
@line:64    Cycle @30.00: [Decoder]	ID: PC=0x14 Ins=0xfed79ae3
@line:124   Cycle @30.00: [Executor]	EX: Bypass rs1 from RegFile=0x5
@line:206   Cycle @30.00: [Executor]	EX: Bypass rs2 from RegFile=0x0
@line:14711 Cycle @30.00: [Executor]	EX: Result=0x6
@line:48    Cycle @30.00: [WB]	WB: x13 <= 0x65
@line:51    Cycle @30.00: [Fetcher_Impl]	IF: PC=0x8
@line:90    Cycle @30.00: [Fetcher_Impl]	IF: BTB Miss PC=0x8
@line:182   Cycle @30.00: [Fetcher_Impl]	IF: Tournament Predictor Taken PC=0x8
@line:64    Cycle @31.00: [Decoder]	ID: PC=0x8 Ins=0x6500693
@line:138   Cycle @31.00: [Executor]	EX: Bypass rs1 from EX/MEM=0x6
@line:248   Cycle @31.00: [Executor]	EX: Bypass rs2 from WB=0x65
@line:14711 Cycle @31.00: [Executor]	EX: Result=0xffffffa1
@line:14939 Cycle @31.00: [Executor]	EX: Branch Target=0x8 Taken=1
@line:14992 Cycle @31.00: [Executor]	EX: BTB Update PC=0x14 Target=0x8
@line:15239 Cycle @31.00: [Executor]	EX: Tournament Predictor Update PC=0x14 Taken=1
@line:48    Cycle @31.00: [WB]	WB: x10 <= 0xf
@line:51    Cycle @31.00: [Fetcher_Impl]	IF: PC=0xc
@line:90    Cycle @31.00: [Fetcher_Impl]	IF: BTB Miss PC=0xc
@line:182   Cycle @31.00: [Fetcher_Impl]	IF: Tournament Predictor Taken PC=0xc
@line:64    Cycle @32.00: [Decoder]	ID: PC=0xc Ins=0xf50533
@line:124   Cycle @32.00: [Executor]	EX: Bypass rs1 from RegFile=0x0
@line:206   Cycle @32.00: [Executor]	EX: Bypass rs2 from RegFile=0x0
@line:14711 Cycle @32.00: [Executor]	EX: Result=0x65
@line:48    Cycle @32.00: [WB]	WB: x15 <= 0x6
@line:51    Cycle @32.00: [Fetcher_Impl]	IF: PC=0x10
@line:90    Cycle @32.00: [Fetcher_Impl]	IF: BTB Miss PC=0x10
@line:182   Cycle @32.00: [Fetcher_Impl]	IF: Tournament Predictor Taken PC=0x10
@line:64    Cycle @33.00: [Decoder]	ID: PC=0x10 Ins=0x178793
@line:124   Cycle @33.00: [Executor]	EX: Bypass rs1 from RegFile=0xf
@line:248   Cycle @33.00: [Executor]	EX: Bypass rs2 from WB=0x6
@line:14711 Cycle @33.00: [Executor]	EX: Result=0x15
@line:51    Cycle @33.00: [Fetcher_Impl]	IF: PC=0x14
@line:83    Cycle @33.00: [Fetcher_Impl]	IF: BTB Hit PC=0x14 Target=0x8
@line:182   Cycle @33.00: [Fetcher_Impl]	IF: Tournament Predictor Taken PC=0x14
@line:64    Cycle @34.00: [Decoder]	ID: PC=0x14 Ins=0xfed79ae3
@line:124   Cycle @34.00: [Executor]	EX: Bypass rs1 from RegFile=0x6
@line:206   Cycle @34.00: [Executor]	EX: Bypass rs2 from RegFile=0x0
@line:14711 Cycle @34.00: [Executor]	EX: Result=0x7
@line:48    Cycle @34.00: [WB]	WB: x13 <= 0x65
@line:51    Cycle @34.00: [Fetcher_Impl]	IF: PC=0x8
@line:90    Cycle @34.00: [Fetcher_Impl]	IF: BTB Miss PC=0x8
@line:182   Cycle @34.00: [Fetcher_Impl]	IF: Tournament Predictor Taken PC=0x8
@line:64    Cycle @35.00: [Decoder]	ID: PC=0x8 Ins=0x6500693
@line:138   Cycle @35.00: [Executor]	EX: Bypass rs1 from EX/MEM=0x7
@line:248   Cycle @35.00: [Executor]	EX: Bypass rs2 from WB=0x65
@line:14711 Cycle @35.00: [Executor]	EX: Result=0xffffffa2
@line:14939 Cycle @35.00: [Executor]	EX: Branch Target=0x8 Taken=1
@line:14992 Cycle @35.00: [Executor]	EX: BTB Update PC=0x14 Target=0x8
@line:15239 Cycle @35.00: [Executor]	EX: Tournament Predictor Update PC=0x14 Taken=1
@line:48    Cycle @35.00: [WB]	WB: x10 <= 0x15
@line:51    Cycle @35.00: [Fetcher_Impl]	IF: PC=0xc
@line:90    Cycle @35.00: [Fetcher_Impl]	IF: BTB Miss PC=0xc
@line:182   Cycle @35.00: [Fetcher_Impl]	IF: Tournament Predictor Taken PC=0xc
@line:64    Cycle @36.00: [Decoder]	ID: PC=0xc Ins=0xf50533
@line:124   Cycle @36.00: [Executor]	EX: Bypass rs1 from RegFile=0x0
@line:206   Cycle @36.00: [Executor]	EX: Bypass rs2 from RegFile=0x0
@line:14711 Cycle @36.00: [Executor]	EX: Result=0x65
@line:48    Cycle @36.00: [WB]	WB: x15 <= 0x7
@line:51    Cycle @36.00: [Fetcher_Impl]	IF: PC=0x10
@line:90    Cycle @36.00: [Fetcher_Impl]	IF: BTB Miss PC=0x10
@line:182   Cycle @36.00: [Fetcher_Impl]	IF: Tournament Predictor Taken PC=0x10
@line:64    Cycle @37.00: [Decoder]	ID: PC=0x10 Ins=0x178793
@line:124   Cycle @37.00: [Executor]	EX: Bypass rs1 from RegFile=0x15
@line:248   Cycle @37.00: [Executor]	EX: Bypass rs2 from WB=0x7
@line:14711 Cycle @37.00: [Executor]	EX: Result=0x1c
@line:51    Cycle @37.00: [Fetcher_Impl]	IF: PC=0x14
@line:83    Cycle @37.00: [Fetcher_Impl]	IF: BTB Hit PC=0x14 Target=0x8
@line:182   Cycle @37.00: [Fetcher_Impl]	IF: Tournament Predictor Taken PC=0x14
@line:64    Cycle @38.00: [Decoder]	ID: PC=0x14 Ins=0xfed79ae3
@line:124   Cycle @38.00: [Executor]	EX: Bypass rs1 from RegFile=0x7
@line:206   Cycle @38.00: [Executor]	EX: Bypass rs2 from RegFile=0x0
@line:14711 Cycle @38.00: [Executor]	EX: Result=0x8
@line:48    Cycle @38.00: [WB]	WB: x13 <= 0x65
@line:51    Cycle @38.00: [Fetcher_Impl]	IF: PC=0x8
@line:90    Cycle @38.00: [Fetcher_Impl]	IF: BTB Miss PC=0x8
@line:182   Cycle @38.00: [Fetcher_Impl]	IF: Tournament Predictor Taken PC=0x8
@line:64    Cycle @39.00: [Decoder]	ID: PC=0x8 Ins=0x6500693
@line:138   Cycle @39.00: [Executor]	EX: Bypass rs1 from EX/MEM=0x8
@line:248   Cycle @39.00: [Executor]	EX: Bypass rs2 from WB=0x65
@line:14711 Cycle @39.00: [Executor]	EX: Result=0xffffffa3
@line:14939 Cycle @39.00: [Executor]	EX: Branch Target=0x8 Taken=1
@line:14992 Cycle @39.00: [Executor]	EX: BTB Update PC=0x14 Target=0x8
@line:15239 Cycle @39.00: [Executor]	EX: Tournament Predictor Update PC=0x14 Taken=1
@line:48    Cycle @39.00: [WB]	WB: x10 <= 0x1c
@line:51    Cycle @39.00: [Fetcher_Impl]	IF: PC=0xc
@line:90    Cycle @39.00: [Fetcher_Impl]	IF: BTB Miss PC=0xc
@line:182   Cycle @39.00: [Fetcher_Impl]	IF: Tournament Predictor Taken PC=0xc
@line:64    Cycle @40.00: [Decoder]	ID: PC=0xc Ins=0xf50533
@line:124   Cycle @40.00: [Executor]	EX: Bypass rs1 from RegFile=0x0
@line:206   Cycle @40.00: [Executor]	EX: Bypass rs2 from RegFile=0x0
@line:14711 Cycle @40.00: [Executor]	EX: Result=0x65
@line:48    Cycle @40.00: [WB]	WB: x15 <= 0x8
@line:51    Cycle @40.00: [Fetcher_Impl]	IF: PC=0x10
@line:90    Cycle @40.00: [Fetcher_Impl]	IF: BTB Miss PC=0x10
@line:182   Cycle @40.00: [Fetcher_Impl]	IF: Tournament Predictor Taken PC=0x10
@line:64    Cycle @41.00: [Decoder]	ID: PC=0x10 Ins=0x178793
@line:124   Cycle @41.00: [Executor]	EX: Bypass rs1 from RegFile=0x1c
@line:248   Cycle @41.00: [Executor]	EX: Bypass rs2 from WB=0x8
@line:14711 Cycle @41.00: [Executor]	EX: Result=0x24
@line:51    Cycle @41.00: [Fetcher_Impl]	IF: PC=0x14
@line:83    Cycle @41.00: [Fetcher_Impl]	IF: BTB Hit PC=0x14 Target=0x8
@line:182   Cycle @41.00: [Fetcher_Impl]	IF: Tournament Predictor Taken PC=0x14
@line:64    Cycle @42.00: [Decoder]	ID: PC=0x14 Ins=0xfed79ae3
@line:124   Cycle @42.00: [Executor]	EX: Bypass rs1 from RegFile=0x8
@line:206   Cycle @42.00: [Executor]	EX: Bypass rs2 from RegFile=0x0
@line:14711 Cycle @42.00: [Executor]	EX: Result=0x9
@line:48    Cycle @42.00: [WB]	WB: x13 <= 0x65
@line:51    Cycle @42.00: [Fetcher_Impl]	IF: PC=0x8
@line:90    Cycle @42.00: [Fetcher_Impl]	IF: BTB Miss PC=0x8
@line:182   Cycle @42.00: [Fetcher_Impl]	IF: Tournament Predictor Taken PC=0x8
@line:64    Cycle @43.00: [Decoder]	ID: PC=0x8 Ins=0x6500693
@line:138   Cycle @43.00: [Executor]	EX: Bypass rs1 from EX/MEM=0x9
@line:248   Cycle @43.00: [Executor]	EX: Bypass rs2 from WB=0x65
@line:14711 Cycle @43.00: [Executor]	EX: Result=0xffffffa4
@line:14939 Cycle @43.00: [Executor]	EX: Branch Target=0x8 Taken=1
@line:14992 Cycle @43.00: [Executor]	EX: BTB Update PC=0x14 Target=0x8
@line:15239 Cycle @43.00: [Executor]	EX: Tournament Predictor Update PC=0x14 Taken=1
@line:48    Cycle @43.00: [WB]	WB: x10 <= 0x24
@line:51    Cycle @43.00: [Fetcher_Impl]	IF: PC=0xc
@line:90    Cycle @43.00: [Fetcher_Impl]	IF: BTB Miss PC=0xc
@line:182   Cycle @43.00: [Fetcher_Impl]	IF: Tournament Predictor Taken PC=0xc
@line:64    Cycle @44.00: [Decoder]	ID: PC=0xc Ins=0xf50533
@line:124   Cycle @44.00: [Executor]	EX: Bypass rs1 from RegFile=0x0
@line:206   Cycle @44.00: [Executor]	EX: Bypass rs2 from RegFile=0x0
@line:14711 Cycle @44.00: [Executor]	EX: Result=0x65
@line:48    Cycle @44.00: [WB]	WB: x15 <= 0x9
@line:51    Cycle @44.00: [Fetcher_Impl]	IF: PC=0x10
@line:90    Cycle @44.00: [Fetcher_Impl]	IF: BTB Miss PC=0x10
@line:182   Cycle @44.00: [Fetcher_Impl]	IF: Tournament Predictor Taken PC=0x10
@line:64    Cycle @45.00: [Decoder]	ID: PC=0x10 Ins=0x178793
