0000021a // 538 (B[33])
000003d3 // 979 (B[34])
000002bc // 700 (B[35])
000002f9 // 761 (B[36])
00000004 // 4   (B[37])
000000f1 // 241 (B[38])
000001ee // 494 (B[39])
000001de // 478 (B[40])
00000064 // 100 (B[41])
000001f3 // 499 (B[42])
00000360 // 864 (B[43])
00000193 // 403 (B[44])
000002b5 // 693 (B[45])
000000de // 222 (B[46])
000001a0 // 416 (B[47])
000001bc // 444 (B[48])
00000128 // 296 (B[49])
000002d1 // 721 (B[50])
0000011d // 285 (B[51])
000002a4 // 676 (B[52])
0000026c // 620 (B[53])
0000013d // 317 (B[54])
0000004e // 78  (B[55])
000000e0 // 224 (B[56])
0000015f // 351 (B[57])
000003a9 // 937 (B[58])
0000021c // 540 (B[59])
00000120 // 288 (B[60])
00000286 // 646 (B[61])
00000077 // 119 (B[62])
000000a9 // 169 (B[63])
00000267 // 615 (B[64])
0000020f // 527 (B[65])
0000025e // 606 (B[66])
00000121 // 289 (B[67])
00000185 // 389 (B[68])
0000031c // 796 (B[69])
0000015f // 351 (B[70])
00000321 // 801 (B[71])
000001c7 // 455 (B[72])
000002d0 // 720 (B[73])
00000116 // 278 (B[74])
000002f6 // 758 (B[75])
0000016f // 367 (B[76])
000002e9 // 745 (B[77])
00000166 // 358 (B[78])
0000005c // 92  (B[79])
00000248 // 584 (B[80])
000003dd // 989 (B[81])
0000003e // 62  (B[82])
0000010f // 271 (B[83])
000003d9 // 985 (B[84])
00000355 // 853 (B[85])
00000193 // 403 (B[86])
00000314 // 788 (B[87])
0000015a // 346 (B[88])
00000213 // 531 (B[89])
00000205 // 517 (B[90])
000000de // 222 (B[91])
0000022f // 559 (B[92])
000001cd // 461 (B[93])
0000038c // 908 (B[94])
000000f1 // 241 (B[95])
00000307 // 775 (B[96])
00000166 // 358 (B[97])
000000ff // 255 (B[98])
0000014c // 332 (B[99])
